symbol,strategy,date_in,date_out,price_in,price_out,pnl,pnl_pct,reason,hold_days,lowest
BTC/USDT,Grid Buy,2020-02-25,2020-02-25,9315.84,9315.84,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-25,2020-02-25,9315.84,9315.84,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-25,2020-02-25,9315.84,9315.84,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-03-08,2020-03-08,8033.31,8033.31,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-03-12,2020-03-12,4800.0,4800.0,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-03-22,2020-03-22,5816.19,5816.19,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-03-23,2020-03-23,5890.0,6467.31,13.5751,9.8014,Grid Sell,1,
BTC/USDT,Grid Buy,2020-03-29,2020-03-29,5881.42,5881.42,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-03-30,2020-03-30,5890.0,6394.38,11.8425,8.5632,Grid Sell,1,
ETH/USDT,RSI MR,2020-03-12,2020-04-18,107.82,187.4,939.309,73.8082,RSI Exit,37,
ETH/USDT,RSI MR,2022-01-07,2022-01-21,3199.24,2568.15,-410.8754,-19.7262,Stop Loss,14,
ETH/USDT,RSI MR,2022-01-22,2022-03-24,2412.18,3110.76,497.3544,28.9605,RSI Exit,61,
ETH/USDT,RSI MR,2022-05-09,2022-05-12,2228.55,1960.22,-260.5189,-12.0406,Stop Loss,3,
ETH/USDT,RSI MR,2022-05-13,2022-05-26,2009.69,1792.23,-210.1692,-10.8206,Stop Loss,13,
ETH/USDT,RSI MR,2022-05-27,2022-06-11,1727.27,1532.89,-198.2303,-11.2536,Stop Loss,15,
ETH/USDT,RSI MR,2022-06-12,2022-06-13,1434.84,1209.82,-248.979,-15.6826,Stop Loss,1,
ETH/USDT,RSI MR,2022-06-14,2022-06-16,1208.9,1068.5,-160.0148,-11.6139,Stop Loss,2,
ETH/USDT,RSI MR,2022-06-17,2022-07-18,1086.94,1581.04,557.9373,45.4579,RSI Exit,31,
ETH/USDT,RSI MR,2022-11-09,2023-01-09,1102.73,1320.39,334.653,19.7383,RSI Exit,61,
ETH/USDT,RSI MR,2023-03-10,2023-03-17,1426.44,1789.27,503.7814,25.4361,RSI Exit,7,
ETH/USDT,RSI MR,2023-06-14,2023-07-13,1650.95,2004.49,515.0388,21.4143,RSI Exit,29,
ETH/USDT,RSI MR,2023-08-17,2023-10-01,1681.49,1733.79,85.9125,3.1103,RSI Exit,45,
ETH/USDT,RSI MR,2024-07-04,2024-08-04,3059.7,2688.92,-357.6221,-12.1182,Stop Loss,31,
ETH/USDT,RSI MR,2024-08-05,2024-10-20,2419.59,2746.91,352.23,13.5279,RSI Exit,76,
ETH/USDT,RSI MR,2025-02-04,2025-02-26,2731.19,2336.37,-425.3813,-14.456,Stop Loss,22,
ETH/USDT,RSI MR,2025-02-27,2025-03-09,2307.72,2020.41,-321.4031,-12.45,Stop Loss,10,
ETH/USDT,RSI MR,2025-03-10,2025-04-06,1865.1,1580.76,-351.0899,-15.2453,Stop Loss,27,
ETH/USDT,RSI MR,2025-04-07,2025-05-08,1553.04,2207.39,836.3172,42.1335,RSI Exit,31,
ETH/USDT,RSI MR,2025-09-25,2025-10-06,3874.36,4684.01,561.5686,20.8976,RSI Exit,11,
ETH/USDT,RSI MR,2025-11-04,2025-11-20,3287.05,2834.22,-440.8834,-13.7762,Stop Loss,16,
ETH/USDT,RSI MR,2025-11-21,2026-01-05,2765.85,3224.99,462.4519,16.6003,RSI Exit,45,
ETH/USDT,RSI MR,2026-01-31,2026-02-04,2451.95,2148.26,-398.9906,-12.3857,Stop Loss,4,
ETH/USDT,RSI MR,2026-02-05,2026-02-28,1826.83,1899.66,111.026,3.9867,End of Backtest,23,
SOL/USDT,RSI MR,2020-10-26,2020-10-29,1.6799,1.4327,-118.4624,-14.7152,Stop Loss,3,
SOL/USDT,RSI MR,2020-10-30,2020-12-23,1.4381,1.198,-118.389,-16.6956,Stop Loss,54,
SOL/USDT,RSI MR,2022-01-07,2022-01-21,136.45,112.27,-108.7451,-17.7208,Stop Loss,14,
SOL/USDT,RSI MR,2022-01-22,2022-02-21,94.54,82.96,-64.6166,-12.2488,Stop Loss,30,
SOL/USDT,RSI MR,2022-05-09,2022-05-11,62.16,50.9,-85.8988,-18.1145,Stop Loss,2,
SOL/USDT,RSI MR,2022-05-12,2022-06-01,44.64,40.11,-41.2897,-10.1478,Stop Loss,20,
SOL/USDT,RSI MR,2022-06-12,2022-11-05,30.61,36.9,75.6388,20.5488,RSI Exit,146,
SOL/USDT,RSI MR,2022-11-09,2022-11-20,14.08,12.27,-55.7557,-12.8551,Stop Loss,11,
SOL/USDT,RSI MR,2022-11-21,2022-12-28,11.83,9.76,-67.8914,-17.4979,Stop Loss,37,
SOL/USDT,RSI MR,2022-12-29,2023-01-09,9.64,16.25,226.977,68.5685,RSI Exit,11,
SOL/USDT,RSI MR,2023-03-09,2023-04-12,17.33,23.8,191.0095,37.3341,RSI Exit,34,
SOL/USDT,RSI MR,2023-06-10,2023-07-07,15.61,21.5,250.5279,37.7322,RSI Exit,27,
SOL/USDT,RSI MR,2025-02-24,2025-03-09,141.81,126.51,-94.3054,-10.7891,Stop Loss,13,
SOL/USDT,RSI MR,2025-11-04,2025-11-14,155.03,138.92,-82.9511,-10.3915,Stop Loss,10,
SOL/USDT,RSI MR,2025-11-16,2025-12-17,137.17,123.27,-74.1226,-10.1334,Stop Loss,31,
SOL/USDT,RSI MR,2026-01-31,2026-02-04,105.58,92.12,-85.4498,-12.7486,Stop Loss,4,
SOL/USDT,RSI MR,2026-02-05,2026-02-28,78.35,80.82,18.2148,3.1525,End of Backtest,23,
